ticker,quantity,timestamp,lastUpdated
A,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AA,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AACG,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AACI,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AACIU,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AACIW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AACT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AADI,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAGR,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAGRW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAMC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAME,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAN,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAOI,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAON,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAP,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAPL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AAU,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AB,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABAT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABBV,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABCB,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABCL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABEO,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABEV,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABG,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABIO,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABLLL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABLLW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABLV,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABLVW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABM,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABNB,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABOS,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABR,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABR^D,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABR^E,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABR^F,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABSI,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABTS,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABUS,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABVC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ABVX,10000,1712275004794.0923,2024-04-04 23:43:24.017071
AC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACA,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACAB,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACAC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACACW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACAD,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACB,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACBA,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACCD,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACCO,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACDC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACEL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACET,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACGL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACGLN,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACGLO,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACHC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACHL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACHR,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACHV,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACI,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACIC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACIU,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACIW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACLS,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACLX,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACM,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACMR,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACN,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACNB,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACNT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACON,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACONW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACOR,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACP,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACP^A,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACR,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACR^C,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACR^D,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACRE,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACRS,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACRV,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACST,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACTG,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACU,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACV,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACVA,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ACXP,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADAG,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADAP,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADBE,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADC^A,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADCT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADD,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADEA,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADI,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADIL,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADM,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADMA,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADN,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADNT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADNWW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADOC,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADOCR,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADOCW,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADP,10000,1712275004794.0923,2024-04-04 23:43:24.017071
ADPT,10000,1712275004794.0923,2024-04-04 23:43:24.017071
