ticker,price,_id,timestamp
A,148.67,A,1712275004794.0923
AA,31.3501,AA,1712275004794.0923
AACG,1.255,AACG,1712275004794.0923
AACI,11.0,AACI,1712275004794.0923
AACIU,11.51,AACIU,1712275004794.0923
AACIW,0.087,AACIW,1712275004794.0923
AACT,10.56,AACT,1712275004794.0923
AADI,2.18,AADI,1712275004794.0923
AAGR,0.3905,AAGR,1712275004794.0923
AAGRW,0.013,AAGRW,1712275004794.0923
AAL,14.715,AAL,1712275004794.0923
AAMC,3.6813,AAMC,1712275004794.0923
AAME,2.79,AAME,1712275004794.0923
AAN,7.3,AAN,1712275004794.0923
AAOI,14.8499,AAOI,1712275004794.0923
AAON,88.25,AAON,1712275004794.0923
AAP,87.43,AAP,1712275004794.0923
AAPL,171.3901,AAPL,1712275004794.0923
AAT,21.57,AAT,1712275004794.0923
AAU,0.14,AAU,1712275004794.0923
AB,34.73,AB,1712275004794.0923
ABAT,1.97,ABAT,1712275004794.0923
ABBV,176.955,ABBV,1712275004794.0923
ABCB,48.18,ABCB,1712275004794.0923
ABCL,4.745,ABCL,1712275004794.0923
ABEO,7.675,ABEO,1712275004794.0923
ABEV,2.5,ABEV,1712275004794.0923
ABG,225.78,ABG,1712275004794.0923
ABIO,1.7719,ABIO,1712275004794.0923
ABL,12.2999,ABL,1712275004794.0923
ABLLL,25.36,ABLLL,1712275004794.0923
ABLLW,0.62,ABLLW,1712275004794.0923
ABLV,2.66,ABLV,1712275004794.0923
ABLVW,0.0627,ABLVW,1712275004794.0923
ABM,44.27,ABM,1712275004794.0923
ABNB,168.7076,ABNB,1712275004794.0923
ABOS,4.31,ABOS,1712275004794.0923
ABR,13.07,ABR,1712275004794.0923
ABR^D,18.9559,ABR^D,1712275004794.0923
ABR^E,19.41,ABR^E,1712275004794.0923
ABR^F,19.2185,ABR^F,1712275004794.0923
ABSI,5.255,ABSI,1712275004794.0923
ABT,111.76,ABT,1712275004794.0923
ABTS,0.8,ABTS,1712275004794.0923
ABUS,2.545,ABUS,1712275004794.0923
ABVC,1.06,ABVC,1712275004794.0923
ABVX,15.02,ABVX,1712275004794.0923
AC,33.33,AC,1712275004794.0923
ACA,85.245,ACA,1712275004794.0923
ACAB,10.73,ACAB,1712275004794.0923
ACAC,11.21,ACAC,1712275004794.0923
ACACW,0.0837,ACACW,1712275004794.0923
ACAD,18.51,ACAD,1712275004794.0923
ACB,3.74,ACB,1712275004794.0923
ACBA,12.23,ACBA,1712275004794.0923
ACCD,9.75,ACCD,1712275004794.0923
ACCO,5.7,ACCO,1712275004794.0923
ACDC,8.275,ACDC,1712275004794.0923
ACEL,11.915,ACEL,1712275004794.0923
ACET,2.125,ACET,1712275004794.0923
ACGL,91.045,ACGL,1712275004794.0923
ACGLN,20.7225,ACGLN,1712275004794.0923
ACGLO,23.78,ACGLO,1712275004794.0923
ACHC,75.61,ACHC,1712275004794.0923
ACHL,1.2641,ACHL,1712275004794.0923
ACHR,5.17,ACHR,1712275004794.0923
ACHV,4.6,ACHV,1712275004794.0923
ACI,20.96,ACI,1712275004794.0923
ACIC,10.875,ACIC,1712275004794.0923
ACIU,3.21,ACIU,1712275004794.0923
ACIW,32.66,ACIW,1712275004794.0923
ACLS,116.38,ACLS,1712275004794.0923
ACLX,73.19,ACLX,1712275004794.0923
ACM,98.035,ACM,1712275004794.0923
ACMR,30.7299,ACMR,1712275004794.0923
ACN,346.02,ACN,1712275004794.0923
ACNB,36.5,ACNB,1712275004794.0923
ACNT,10.6,ACNT,1712275004794.0923
ACON,0.369,ACON,1712275004794.0923
ACONW,0.0409,ACONW,1712275004794.0923
ACOR,12.5,ACOR,1712275004794.0923
ACP,6.8488,ACP,1712275004794.0923
ACP^A,23.99,ACP^A,1712275004794.0923
ACR,13.845,ACR,1712275004794.0923
ACR^C,24.5999,ACR^C,1712275004794.0923
ACR^D,22.71,ACR^D,1712275004794.0923
ACRE,7.79,ACRE,1712275004794.0923
ACRS,1.17,ACRS,1712275004794.0923
ACRV,6.59,ACRV,1712275004794.0923
ACST,3.41,ACST,1712275004794.0923
ACT,30.53,ACT,1712275004794.0923
ACTG,5.22,ACTG,1712275004794.0923
ACU,41.81,ACU,1712275004794.0923
ACV,23.6,ACV,1712275004794.0923
ACVA,19.13,ACVA,1712275004794.0923
ACXP,2.045,ACXP,1712275004794.0923
ADAG,2.64,ADAG,1712275004794.0923
ADAP,1.3525,ADAP,1712275004794.0923
ADBE,508.125,ADBE,1712275004794.0923
ADC,56.2917,ADC,1712275004794.0923
ADC^A,18.305,ADC^A,1712275004794.0923
ADCT,4.59,ADCT,1712275004794.0923
ADD,0.2542,ADD,1712275004794.0923
ADEA,11.097,ADEA,1712275004794.0923
ADI,197.6,ADI,1712275004794.0923
ADIL,1.72,ADIL,1712275004794.0923
ADM,62.58,ADM,1712275004794.0923
ADMA,6.255,ADMA,1712275004794.0923
ADN,0.1845,ADN,1712275004794.0923
ADNT,33.55,ADNT,1712275004794.0923
ADNWW,0.0265,ADNWW,1712275004794.0923
ADOC,2.71,ADOC,1712275004794.0923
ADOCR,0.25,ADOCR,1712275004794.0923
ADOCW,0.0367,ADOCW,1712275004794.0923
ADP,250.39,ADP,1712275004794.0923
ADPT,3.355,ADPT,1712275004794.0923
ADRT,13.98,ADRT,1712275004794.0923
ADSE,10.6,ADSE,1712275004794.0923
ADSEW,2.1,ADSEW,1712275004794.0923
ADSK,266.79,ADSK,1712275004794.0923
ADT,6.655,ADT,1712275004794.0923
ADTH,3.37,ADTH,1712275004794.0923
ADTHW,0.125,ADTHW,1712275004794.0923
ADTN,5.47,ADTN,1712275004794.0923
ADTX,3.1845,ADTX,1712275004794.0923
ADUS,100.45,ADUS,1712275004794.0923
ADV,4.24,ADV,1712275004794.0923
ADVM,15.0,ADVM,1712275004794.0923
ADVWW,0.11,ADVWW,1712275004794.0923
ADX,19.47,ADX,1712275004794.0923
ADXN,12.0879,ADXN,1712275004794.0923
AE,25.6518,AE,1712275004794.0923
AEAE,11.25,AEAE,1712275004794.0923
AEE,72.1,AEE,1712275004794.0923
AEF,5.0292,AEF,1712275004794.0923
AEFC,22.5895,AEFC,1712275004794.0923
AEG,5.87,AEG,1712275004794.0923
AEHL,1.6,AEHL,1712275004794.0923
AEHR,15.0501,AEHR,1712275004794.0923
AEI,0.6998,AEI,1712275004794.0923
AEIS,98.78,AEIS,1712275004794.0923
AEL,56.23,AEL,1712275004794.0923
AEL^A,24.2701,AEL^A,1712275004794.0923
AEL^B,24.97,AEL^B,1712275004794.0923
AEM,56.455,AEM,1712275004794.0923
AEMD,1.66,AEMD,1712275004794.0923
AENT,1.7301,AENT,1712275004794.0923
AENTW,0.03,AENTW,1712275004794.0923
AEO,25.645,AEO,1712275004794.0923
AEON,10.75,AEON,1712275004794.0923
AEP,83.335,AEP,1712275004794.0923
AER,86.62,AER,1712275004794.0923
AERT,2.48,AERT,1712275004794.0923
AES,15.85,AES,1712275004794.0923
AESI,22.35,AESI,1712275004794.0923
AEVA,4.52,AEVA,1712275004794.0923
AEYE,10.405,AEYE,1712275004794.0923
AEZS,1.9701,AEZS,1712275004794.0923
AFAR,11.07,AFAR,1712275004794.0923
AFB,10.92,AFB,1712275004794.0923
AFBI,16.53,AFBI,1712275004794.0923
AFCG,13.155,AFCG,1712275004794.0923
AFG,133.4,AFG,1712275004794.0923
AFGB,24.8295,AFGB,1712275004794.0923
AFGC,22.45,AFGC,1712275004794.0923
AFGD,24.46,AFGD,1712275004794.0923
AFGE,21.3099,AFGE,1712275004794.0923
AFIB,0.1839,AFIB,1712275004794.0923
AFJK,10.19,AFJK,1712275004794.0923
